Name,ELISA Cardiolipin,ELISA KLH,ELISA LPS,ELISA ssDNA,ELISA dsDNA,ELISA Insulin,BVP ELISA
abituzumab,1.44,0.97,1.0,1.1,1.16,1.15,2.72
abrilumab,1.51,0.86,0.96,1.32,1.12,0.97,1.82
adalimumab,1.47,0.88,0.92,1.14,1.03,1.0,1.49
alemtuzumab,1.53,0.93,1.06,1.1,1.27,1.08,1.46
alirocumab,1.65,1.06,1.03,1.09,1.26,1.08,2.18
anifrolumab,1.3,0.96,1.26,1.13,1.12,1.16,1.62
atezolizumab,1.15,1.29,0.93,1.22,1.41,1.76,6.2
bapineuzumab,1.32,1.12,1.13,1.42,1.25,1.02,3.55
basiliximab,1.11,1.15,1.05,1.2,1.38,1.33,2.14
bavituximab,1.56,1.48,1.26,1.16,1.16,1.27,1.69
belimumab,2.15,2.34,2.74,4.56,3.9,5.97,12.23
benralizumab,1.15,1.64,1.3,1.08,1.05,1.18,1.42
bevacizumab,1.54,1.1,1.05,1.31,1.34,1.38,2.78
bimagrumab,1.66,1.47,1.45,1.78,1.63,1.3,5.33
blosozumab,16.56,4.1,10.74,14.86,16.85,15.95,12.85
bococizumab,14.0,10.72,11.55,16.01,14.52,14.18,18.88
brentuximab,2.7,1.29,1.11,16.89,2.05,1.23,2.24
briakinumab,2.35,1.83,1.72,15.68,3.43,3.97,10.22
brodalumab,1.62,0.92,1.1,2.86,1.32,1.04,2.93
canakinumab,1.42,0.96,1.05,1.2,1.36,1.18,2.55
carlumab,1.52,1.9,2.3,2.7,3.83,4.32,8.88
certolizumab,1.34,0.98,1.0,1.2,1.23,1.11,1.65
cetuximab,0.97,0.93,1.11,1.03,1.19,1.33,1.09
cixutumumab,4.25,2.95,3.12,3.95,3.71,4.62,11.9
clazakizumab,1.45,1.32,1.2,1.12,1.22,1.37,4.12
codrituzumab,2.49,5.2,11.65,14.0,10.43,12.74,14.87
crenezumab,1.14,1.07,1.11,1.09,1.16,1.23,2.78
dacetuzumab,1.01,1.03,1.06,1.07,1.14,1.17,1.34
daclizumab,2.06,0.88,0.94,1.04,1.14,1.02,1.41
dalotuzumab,2.94,1.52,2.05,3.87,4.11,2.9,8.25
daratumumab,1.47,1.01,1.02,1.15,1.46,1.18,3.15
denosumab,2.15,4.8,1.87,12.57,8.65,5.47,17.75
dinutuximab,1.06,1.04,0.76,1.08,0.93,1.31,1.69
drozitumab,1.51,0.9,0.97,1.11,1.12,0.98,1.48
duligotuzumab,15.83,4.83,5.38,9.52,7.23,8.45,9.63
dupilumab,1.81,8.96,8.07,8.3,12.5,12.53,19.27
eculizumab,1.09,0.95,0.77,1.01,0.88,1.05,3.0
efalizumab,0.96,1.05,0.95,1.04,0.83,1.07,1.24
eldelumab,1.22,1.11,1.06,1.06,1.08,1.14,1.75
elotuzumab,1.39,0.91,0.78,0.98,0.82,0.99,1.26
emibetuzumab,2.78,2.29,2.23,3.18,3.93,5.39,8.33
enokizumab,1.65,0.97,1.04,1.14,1.21,1.04,3.24
epratuzumab,2.26,1.05,1.08,1.55,1.59,1.32,2.34
etrolizumab,1.01,0.98,1.07,3.96,4.85,1.23,4.23
evolocumab,3.42,1.13,1.04,1.41,1.93,1.59,1.75
farletuzumab,1.54,0.78,0.95,1.02,1.17,0.97,1.32
fasinumab,1.53,0.83,0.95,1.18,1.21,1.24,2.53
fezakinumab,1.48,1.07,1.09,1.17,1.13,0.94,2.15
ficlatuzumab,1.67,0.89,0.98,1.07,1.25,0.93,1.23
figitumumab,1.58,1.44,1.32,8.18,2.75,2.08,5.65
fletikumab,1.34,0.82,0.92,1.06,1.05,0.95,1.41
foralumab,1.56,1.19,1.28,16.68,6.42,1.48,4.71
fresolimumab,1.32,0.93,1.12,1.21,1.45,1.78,3.51
fulranumab,3.04,1.42,1.38,1.79,1.73,1.72,6.92
galiximab,1.22,1.1,1.23,1.25,1.26,1.23,3.81
ganitumab,1.78,1.24,1.04,1.26,1.35,1.11,4.91
gantenerumab,14.37,11.43,11.42,16.35,15.27,14.09,22.75
gemtuzumab,1.24,0.93,1.06,1.08,1.2,0.97,1.7
gevokizumab,1.28,1.0,1.31,1.14,1.14,1.21,1.93
girentuximab,1.18,0.93,1.01,1.17,1.17,1.08,1.39
glembatumumab,1.04,1.22,0.98,1.04,0.88,1.22,2.22
golimumab,1.0,2.28,1.07,1.1,1.08,1.31,2.71
guselkumab,1.94,1.55,1.3,1.6,1.37,1.49,5.87
ibalizumab,0.91,1.08,1.21,0.94,0.83,0.99,1.13
imgatuzumab,1.83,2.49,5.42,6.9,6.62,6.82,11.77
infliximab,1.02,1.0,1.04,1.08,1.03,1.05,1.37
inotuzumab,2.42,1.38,1.2,9.69,2.76,1.63,5.4
ipilimumab,1.32,0.94,0.94,1.06,1.03,1.03,1.69
ixekizumab,7.33,4.15,6.88,10.44,11.29,12.69,10.4
lampalizumab,0.94,0.91,1.26,1.04,1.22,1.28,1.34
lebrikizumab,0.98,0.9,0.78,1.01,0.98,1.12,1.46
lenzilumab,15.32,11.16,11.9,18.18,15.55,14.64,19.6
lintuzumab,1.23,0.88,0.95,1.1,1.12,0.99,1.25
lirilumab,1.3,0.97,1.03,1.27,1.47,1.58,3.55
lumiliximab,1.07,1.03,1.36,1.04,1.14,1.18,2.22
matuzumab,1.34,0.85,1.05,1.04,1.17,0.91,1.03
mavrilimumab,1.08,1.09,1.24,1.09,1.8,0.98,2.16
mepolizumab,1.65,0.8,0.96,1.01,1.13,1.23,1.05
mogamulizumab,1.31,1.09,0.99,1.16,1.18,0.98,2.17
motavizumab,1.98,1.03,0.99,1.12,1.16,1.09,5.36
muromonab,1.68,1.17,1.05,1.38,1.71,1.47,3.94
natalizumab,1.39,0.81,0.99,1.13,1.12,0.93,1.52
necitumumab,1.42,0.91,1.01,1.0,1.04,0.9,1.31
nimotuzumab,1.58,1.42,1.1,1.28,1.14,1.39,3.42
nivolumab,1.53,0.88,1.01,1.12,1.29,1.08,1.32
